Name,State,2015_RPP
Portland-South Portland,ME,101.0
Flint,MI,91.5
Kalamazoo-Portage,MI,91.9
Battle Creek,MI,91.1
Muskegon,MI,87.9
South Bend-Mishawaka,MI,89.3
Midland,MI,91.1
Grand Rapids-Wyoming,MI,93.7
Lansing-East Lansing,MI,93.3
Ann Arbor,MI,101.9
Detroit-Warren-Dearborn,MI,96.6
Monroe,MI,94.6
Bay City,MI,88.6
Saginaw,MI,89.1
Jackson,MI,89.9
Niles-Benton Harbor,MI,89.4
La Crosse-Onalaska,MN,92.9
Fargo,MN,92.9
Duluth,MN,90.8
St. Cloud,MN,92.4
Rochester,MN,93.6
Minneapolis-St. Paul-Bloomington,MN,102.4
Mankato-North Mankato,MN,89.2
Springfield,MO,88.3
Jefferson City,MO,82.4
Kansas City,MO,93.7
Cape Girardeau,MO,82.7
Joplin,MO,88.1
St. Louis,MO,90.6
St. Joseph,MO,88.2
Columbia,MO,92.2
Fayetteville-Springdale-Rogers,MO,89.8
Hattiesburg,MS,82.6
Memphis,MS,91.5
Jackson,MS,90.2
Gulfport-Biloxi-Pascagoula,MS,89.5
Missoula,MT,96.0
Billings,MT,98.8
Great Falls,MT,93.9
Winston-Salem,NC,89.4
Rocky Mount,NC,85.1
Fayetteville,NC,90.7
Virginia Beach-Norfolk-Newport News,NC,98.0
Durham-Chapel Hill,NC,95.3
Myrtle Beach-Conway-North Myrtle Beach,NC,90.7
Raleigh,NC,95.8
Virginia Beach-Norfolk-Newport News,NC,98.0
Greensboro-High Point,NC,90.0
Hickory-Lenoir-Morganton,NC,87.5
New Bern,NC,86.7
Greenville,NC,88.4
Charlotte-Concord-Gastonia,NC,93.5
Asheville,NC,93.0
Goldsboro,NC,87.8
Burlington,NC,90.0
Wilmington,NC,94.0
Jacksonville,NC,93.2
Fargo,ND,92.9
Bismarck,ND,94.2
Grand Forks,MN,94.1
Grand Forks,ND,94.1
Lincoln,NE,92.8
Grand Island,NE,85.8
Omaha-Council Bluffs,NE,93.7
Sioux City,NE,88.7
Boston-Cambridge-Newton,NH,110.3
Manchester-Nashua,NH,107.9
Boston-Cambridge-Newton,NH,110.3
Vineland-Bridgeton,NJ,100.1
Ocean City,NJ,106.8
Atlantic City-Hammonton,NJ,105.1
Trenton,NJ,112.0
