Nashville-Davidson--Murfreesboro--Franklin,TN,93.9
San Angelo,TX,93.9
St. George,UT,93.8
Walla Walla,WA,93.8
Bloomsburg-Berwick,PA,93.7
Grand Rapids-Wyoming,MI,93.7
Kansas City,MO-KS,93.7
Omaha-Council Bluffs,NE-IA,93.7
Albany,OR,93.6
Chambersburg-Waynesboro,PA,93.6
Racine,WI,93.6
Rochester,MN,93.6
Savannah,GA,93.6
Charlotte-Concord-Gastonia,NC-SC,93.5
Coeur d'Alene,ID,93.5
College Station-Bryan,TX,93.5
Lafayette-West Lafayette,IN,93.5
Corpus Christi,TX,93.4
Lubbock,TX,93.4
Utica-Rome,NY,93.4
Lansing-East Lansing,MI,93.3
Tallahassee,FL,93.3
Jacksonville,NC,93.2
Lawrence,KS,93.2
Columbus,OH,93.1
Indianapolis-Carmel-Anderson,IN,93.1
Manhattan,KS,93.1
Amarillo,TX,93
Asheville,NC,93
Lake Havasu City-Kingman,AZ,93
Pensacola-Ferry Pass-Brent,FL,93
Williamsport,PA,93
Baton Rouge,LA,92.9
Fargo,ND-MN,92.9
La Crosse-Onalaska,WI-MN,92.9
Lakeland-Winter Haven,FL,92.9
Yuma,AZ,92.9
Lincoln,NE,92.8
Hanford-Corcoran,CA,92.7
Appleton,WI,92.4
Erie,PA,92.4
St. Cloud,MN,92.4
Sioux Falls,SD,92.4
Dubuque,IA,92.3
Las Cruces,NM,92.3
Columbia,MO,92.2
Killeen-Temple,TX,92.1
Oklahoma City,OK,92.1
Pueblo,CO,92.1
Scranton--Wilkes-Barre--Hazleton,PA,92
Janesville-Beloit,WI,91.9
Kalamazoo-Portage,MI,91.9
Lexington-Fayette,KY,91.9
Columbia,SC,91.7
Eau Claire,WI,91.7
Longview,TX,91.7
Peoria,IL,91.7
The Villages,FL,91.7
Athens-Clarke County,GA,91.6
Green Bay,WI,91.6
Rapid City,SD,91.6
Winchester,VA-WV,91.6
Flint,MI,91.5
Houma-Thibodaux,LA,91.5
Memphis,TN-MS-AR,91.5
Sebastian-Vero Beach,FL,91.5
Waco,TX,91.5
Ames,IA,91.3
Morgantown,WV,91.3
Oshkosh-Neenah,WI,91.3
Roanoke,VA,91.3
Sherman-Denison,TX,91.3
Daphne-Fairhope-Foley,AL,91.2
Louisville/Jefferson County,KY-IN,91.2
Springfield,IL,91.2
Wausau,WI,91.2
Battle Creek,MI,91.1
Midland,MI,91.1
Abilene,TX,91
Clarksville,TN-KY,91
Tulsa,OK,91
Elkhart-Goshen,IN,90.9
Little Rock-North Little Rock-Conway,AR,90.9
Lynchburg,VA,90.9
Sheboygan,WI,90.9
Duluth,MN-WI,90.8
Waterloo-Cedar Falls,IA,90.8
Fayetteville,NC,90.7
Myrtle Beach-Conway-North Myrtle Beach,SC-NC,90.7
Wichita,KS,90.7
Lawton,OK,90.6
Rockford,IL,90.6
St. Louis,MO-IL,90.6
Davenport-Moline-Rock Island,IA-IL,90.5
Dayton,OH,90.5
Hinesville,GA,90.5
Lewiston,ID-WA,90.4
Shreveport-Bossier City,LA,90.4
Logan,UT-ID,90.3
Beaumont-Port Arthur,TX,90.2
Farmington,NM,90.2
Jackson,MS,90.2
Ocala,FL,90.2
Salisbury,MD-DE,90.2
Fort Wayne,IN,90.1
Wichita Falls,TX,90.1
Burlington,NC,90
Enid,OK,90
Evansville,IN-KY,90
Greensboro-High Point,NC,90
Huntsville,AL,89.9
Chattanooga,TN-GA,89.9
Harrisonburg,VA,89.9
Jackson,MI,89.9
Cedar Rapids,IA,89.8
Fayetteville-Springdale-Rogers,AR-MO,89.8
Greenville-Anderson-Mauldin,SC,89.8
Akron,OH,89.7
Cleveland-Elyria,OH,89.7
Sierra Vista-Douglas,AZ,89.7
El Centro,CA,89.6
Altoona,PA,89.5
Gulfport-Biloxi-Pascagoula,MS,89.5
Warner Robins,GA,89.5
Blacksburg-Christiansburg-Radford,VA,89.4
Columbus,GA-AL,89.4
Idaho Falls,ID,89.4
Niles-Benton Harbor,MI,89.4
Topeka,KS,89.4
Winston-Salem,NC,89.4
Montgomery,AL,89.3
El Paso,TX,89.3
Knoxville,TN,89.3
South Bend-Mishawaka,IN-MI,89.3
Birmingham-Hoover,AL,89.2
Cincinnati,OH-KY-IN,89.2
Gainesville,GA,89.2
Lafayette,LA,89.2
Mankato-North Mankato,MN,89.2
Pocatello,ID,89.2
Toledo,OH,89.2
Saginaw,MI,89.1
Canton-Massillon,OH,89
Lake Charles,LA,89
Laredo,TX,88.8
Augusta-Richmond County,GA-SC,88.7
Lima,OH,88.7
Sioux City,IA-NE-SD,88.7
Bay City,MI,88.6
Muncie,IN,88.6
Greenville,NC,88.4
Alexandria,LA,88.3
Springfield,MO,88.3
St. Joseph,MO-KS,88.2
Tuscaloosa,AL,88.1
Joplin,MO,88.1
Mobile,AL,88
Homosassa Springs,FL,88
Johnson City,TN,88
Muskegon,MI,87.9
Goldsboro,NC,87.8
Springfield,OH,87.8
Terre Haute,IN,87.8
Columbus,IN,87.7
Cumberland,MD-WV,87.7
Sumter,SC,87.7
Youngstown-Warren-Boardman,OH-PA,87.7
Decatur,IL,87.6
Staunton-Waynesboro,VA,87.6
Charleston,WV,87.5
Hickory-Lenoir-Morganton,NC,87.5
Owensboro,KY,87.5
Spartanburg,SC,87.4
Fond du Lac,WI,87.3
Macon-Bibb County,GA,86.8
New Bern,NC,86.7
Brunswick,GA,86.6
Texarkana,TX-AR,86.6
Decatur,AL,86.5
Huntington-Ashland,WV-KY-OH,86.4
Kokomo,IN,86.4
Parkersburg-Vienna,WV,86.3
Wheeling,WV-OH,86.3
Elizabethtown-Fort Knox,KY,86.1
Hammond,LA,86.1
Mansfield,OH,85.9
Monroe,LA,85.9
Florence,SC,85.8
Grand Island,NE,85.8
Bowling Green,KY,85.7
Johnstown,PA,85.7
Michigan City-La Porte,IN,85.6
Weirton-Steubenville,WV-OH,85.6
Fort Smith,AR-OK,85.4
Hot Springs,AR,85.2
Kingsport-Bristol-Bristol,TN-VA,85.2
McAllen-Edinburg-Mission,TX,85.1
Rocky Mount,NC,85.1
Dothan,AL,84.9
Auburn-Opelika,AL,84.7
Gadsden,AL,84.5
